Source,Target,Type,Weight
0,0,Directed,0.06793957948684692
0,1,Directed,0.01256694458425045
0,2,Directed,-0.08101186156272888
0,5,Directed,0.22343403100967407
0,7,Directed,-0.2300741970539093
0,10,Directed,-0.15509049594402313
0,12,Directed,0.7405547499656677
0,14,Directed,0.032960355281829834
0,16,Directed,0.08436265587806702
0,18,Directed,0.17050281167030334
0,21,Directed,0.0017002522945404053
0,24,Directed,0.044895321130752563
0,31,Directed,0.06333641707897186
0,44,Directed,-0.10527107119560242
0,56,Directed,0.034100864082574844
0,58,Directed,-0.01868382841348648
0,83,Directed,0.23601961135864258
0,87,Directed,-0.051771730184555054
0,89,Directed,-0.012682497501373291
0,91,Directed,0.005020119249820709
1,0,Directed,-0.12850892543792725
1,1,Directed,0.08764144778251648
1,2,Directed,0.026671752333641052
1,3,Directed,0.08104890584945679
1,7,Directed,0.10774514079093933
1,10,Directed,0.3284326493740082
1,12,Directed,-0.18498563766479492
1,13,Directed,-0.2713124752044678
1,14,Directed,-0.059120118618011475
1,15,Directed,-0.0996452271938324
1,16,Directed,0.03336946666240692
1,18,Directed,-0.07542145252227783
1,19,Directed,0.09296616911888123
1,21,Directed,-0.08937694877386093
1,24,Directed,0.11562305688858032
1,29,Directed,-0.138117253780365
1,31,Directed,0.1284005492925644
1,37,Directed,0.05982017517089844
1,38,Directed,0.013359099626541138
1,47,Directed,0.04771546274423599
1,54,Directed,0.2771364450454712
1,56,Directed,-0.3128325343132019
1,58,Directed,-0.014209836721420288
1,62,Directed,-0.1896764039993286
1,73,Directed,-0.00738796591758728
1,76,Directed,-0.11674638092517853
1,77,Directed,0.23165543377399445
1,81,Directed,0.1089300811290741
1,83,Directed,0.09319786727428436
1,85,Directed,0.168707013130188
1,87,Directed,0.06533801555633545
1,88,Directed,-0.041667722165584564
1,89,Directed,-0.20314233005046844
1,90,Directed,0.6825147867202759
1,91,Directed,0.0701010525226593
2,0,Directed,-0.6010671257972717
2,1,Directed,0.36502379179000854
2,2,Directed,-0.12332172691822052
2,7,Directed,0.4406659007072449
2,10,Directed,0.1382519006729126
2,12,Directed,0.4780663549900055
2,14,Directed,0.5465890169143677
2,15,Directed,-0.10211089253425598
2,16,Directed,0.14264187216758728
2,18,Directed,0.13267597556114197
2,19,Directed,-0.4405505061149597
2,21,Directed,0.28544044494628906
2,24,Directed,0.3783424496650696
2,31,Directed,-0.20846199989318848
2,35,Directed,0.2999228239059448
2,37,Directed,-0.42175742983818054
2,56,Directed,-0.4862669110298157
2,58,Directed,-0.5019406676292419
2,76,Directed,-0.14487753808498383
2,83,Directed,0.36873552203178406
2,85,Directed,0.4892043173313141
2,87,Directed,0.0008779764175415039
2,88,Directed,0.024762235581874847
3,1,Directed,0.06293830275535583
3,2,Directed,-0.12743468582630157
3,3,Directed,0.6142205595970154
3,4,Directed,-0.2713925242424011
3,12,Directed,0.3135111927986145
