id,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69
24,8.649455070495605,11.95795726776123,12.054563522338867,12.011406898498535,9.995451927185059,10.77247428894043,10.601649284362793,9.863970756530762,10.311043739318848,7.87917947769165,8.705565452575684,7.870312213897705,8.725410461425781,8.949716567993164,8.755412101745605,9.19849967956543,9.145938873291016,8.873556137084961,7.805239677429199,9.23415470123291,8.452800750732422,9.211908340454102,8.1832857131958,8.985010147094727,8.534703254699707,8.73719310760498,10.609553337097168,9.4350004196167,9.267800331115723,8.184150695800781,7.616059303283691,8.324539184570312,9.620353698730469,9.817590713500977,10.043187141418457,9.912518501281738,9.601164817810059,10.57026481628418,8.661393165588379,8.896949768066406,9.470559120178223,9.909649848937988,9.941108703613281,10.38534927368164,10.026358604431152,9.453863143920898,9.215246200561523,9.868127822875977,8.102924346923828,8.626127243041992,9.137321472167969,8.183588027954102,8.936849594116211,9.906547546386719,10.755708694458008,8.722923278808594,8.604074478149414,9.231115341186523,9.397852897644043,8.733538627624512,10.324034690856934,9.378273963928223,10.474645614624023,10.377970695495605,10.073332786560059,10.529149055480957,8.261177062988281,8.11848258972168,8.202829360961914,8.944327354431152
74,11.809696197509766,10.526580810546875,11.17536735534668,8.461360931396484,8.927823066711426,7.301995277404785,10.090154647827148,7.802396297454834,8.260016441345215,7.674252986907959,7.450224876403809,7.017967700958252,6.998958110809326,7.248785495758057,7.229499816894531,7.216102600097656,7.974405288696289,7.056464195251465,7.079832077026367,8.01069164276123,6.897226333618164,7.778897285461426,5.532965660095215,8.450881958007812,6.179904937744141,7.132443904876709,8.35468578338623,9.257814407348633,7.9011759757995605,7.559668064117432,7.587719917297363,6.630225658416748,7.2258195877075195,7.849476337432861,7.795921325683594,8.64439582824707,8.68367862701416,8.667366027832031,7.745813846588135,7.774235248565674,8.16223430633545,8.517704963684082,7.496830940246582,7.132653713226318,8.572793960571289,8.474030494689941,7.814956188201904,7.26066780090332,7.284182071685791,7.275017261505127,7.057892799377441,7.8194708824157715,9.810811042785645,8.401826858520508,9.3609619140625,9.08613395690918,9.178450584411621,8.407283782958984,8.42112922668457,6.7600321769714355,7.225640773773193,7.147039413452148,10.59269905090332,8.452920913696289,6.065360069274902,7.523813247680664,0.8384812474250793,7.444801330566406,7.848675727844238,9.202115058898926
56,9.175689697265625,9.919285774230957,8.78736686706543,9.837494850158691,8.858466148376465,8.740530967712402,8.802940368652344,9.783647537231445,10.222949981689453,9.609567642211914,8.725714683532715,7.821256637573242,8.730252265930176,9.330218315124512,9.373483657836914,10.202784538269043,9.30086612701416,9.83784008026123,8.811220169067383,8.52613353729248,7.882904052734375,9.436001777648926,7.960023403167725,8.7412691116333,7.827593803405762,7.840410232543945,9.096114158630371,9.32944107055664,7.2155022621154785,8.949572563171387,8.420413970947266,8.880861282348633,9.401540756225586,9.268217086791992,10.666025161743164,10.882351875305176,12.51414680480957,10.344627380371094,12.678791999816895,11.934945106506348,12.744586944580078,10.944563865661621,12.309736251831055,12.025059700012207,12.731793403625488,12.403877258300781,12.671024322509766,12.785050392150879,12.828125,12.454030990600586,12.034964561462402,11.694620132446289,10.770505905151367,10.965947151184082,11.848726272583008,10.36927318572998,10.40779972076416,10.816662788391113,8.9298095703125,10.310832977294922,10.85095500946045,11.185826301574707,11.12756061553955,9.773418426513672,11.748360633850098,10.048561096191406,7.68032169342041,9.14238452911377,12.140705108642578,9.431571960449219
64,11.433566093444824,12.483855247497559,9.993209838867188,10.577165603637695,10.5236177444458,10.519975662231445,10.519410133361816,10.550766944885254,10.555192947387695,10.526030540466309,10.525958061218262,10.48976993560791,10.539619445800781,10.524418830871582,10.521137237548828,10.498191833496094,10.52673053741455,10.52174186706543,10.541178703308105,10.524049758911133,10.52624797821045,10.523898124694824,10.504220008850098,10.521371841430664,10.542473793029785,10.539129257202148,10.53634262084961,10.527969360351562,10.568480491638184,10.562455177307129,10.549748420715332,10.546634674072266,10.563741683959961,10.580474853515625,10.566195487976074,10.564435005187988,10.565037727355957,10.564906120300293,10.563764572143555,10.567854881286621,10.531310081481934,10.569056510925293,10.558497428894043,10.553489685058594,10.531853675842285,10.508502960205078,8.982263565063477,10.517736434936523,8.88572883605957,8.59632396697998,9.459307670593262,8.883622169494629,9.248770713806152,9.023591995239258,9.202441215515137,8.978487968444824,9.175836563110352,9.016972541809082,8.896965026855469,8.902670860290527,8.846437454223633,9.109077453613281,8.991576194763184,8.887590408325195,9.06917953491211,9.051780700683594,9.353418350219727,9.102258682250977,8.9962739944458,9.35198974609375
20,-7.301763534545898,-7.34649658203125,-7.31576681137085,-7.316628932952881,-7.315467834472656,-7.217114448547363,-7.320647716522217,-6.770977973937988,-7.168441295623779,-7.262368202209473,-6.656167984008789,6.075272083282471,-6.676449775695801,-6.648727893829346,-6.698246955871582,-6.649209022521973,-6.69162130355835,-6.657083511352539,-6.637424468994141,-6.773595809936523,-6.658718585968018,-6.6581339836120605,-6.767885684967041,-6.642999172210693,-6.829951286315918,-6.676014423370361,-6.849429607391357,-6.947268009185791,-6.660876750946045,-6.872598171234131,-6.8745832443237305,-6.903952121734619,-7.219806671142578,-7.163753032684326,-6.86807107925415,-6.667989730834961,-6.8710408210754395,-6.700835227966309,-6.791060447692871,-6.880887031555176,-7.073078155517578,-6.872770309448242,-7.279724597930908,-7.296814918518066,-7.282969951629639,-7.162628650665283,-7.281663417816162,-7.283388137817383,-7.245155334472656,-7.2651686668396,-7.2833662033081055,-7.1541523933410645,-6.97100305557251,-6.865189075469971,-7.114269733428955,-7.253245830535889,-6.898583889007568,-7.127027988433838,-7.110764503479004,-6.845925807952881,-6.8844709396362305,-7.044027328491211,-7.019257545471191,-6.9190192222595215,-7.064127445220947,-6.858060359954834,-7.059818744659424,-7.0768842697143555,-6.819378852844238,-7.147700309753418
45,13.53985595703125,13.49496841430664,13.463433265686035,13.557981491088867,13.423352241516113,13.420269012451172,13.409639358520508,13.487637519836426,13.407759666442871,13.310277938842773,13.422765731811523,13.423040390014648,13.019428253173828,13.401811599731445,12.847981452941895,12.806342124938965,13.345338821411133,12.812969207763672,11.377793312072754,11.429314613342285,12.913091659545898,11.338668823242188,12.873205184936523,12.836694717407227,13.12303352355957,13.216129302978516,13.15436840057373,13.181404113769531,13.384471893310547,13.590197563171387,13.593579292297363,13.576334953308105,13.525884628295898,13.613781929016113,13.326639175415039,13.337220191955566,13.314865112304688,13.247021675109863,13.20816707611084,12.807625770568848,13.073431968688965,13.125701904296875,13.213770866394043,13.323667526245117,12.964378356933594,13.3816556930542,13.009332656860352,12.78732681274414,12.855984687805176,12.839081764221191,12.981887817382812,13.205885887145996,13.271926879882812,12.95618724822998,12.959339141845703,13.031228065490723,12.906373023986816,13.275714874267578,12.826720237731934,13.02646541595459,13.384994506835938,13.37463092803955,13.335620880126953,13.554610252380371,13.454568862915039,13.014699935913086,13.461030006408691,12.940916061401367,12.496163368225098,11.95272445678711
22,8.1388578414917,8.67999267578125,8.701684951782227,8.694677352905273,8.729527473449707,8.708637237548828,8.701354026794434,8.707859992980957,8.58100414276123,8.58743667602539,8.606769561767578,8.61102294921875,8.598010063171387,8.62742805480957,8.706392288208008,8.627877235412598,8.620543479919434,8.599040985107422,8.574125289916992,8.648723602294922,8.7164945602417,8.627191543579102,8.613652229309082,8.63302230834961,8.670476913452148,8.601386070251465,8.613389015197754,8.62663745880127,8.624658584594727,8.613048553466797,8.685773849487305,8.71915054321289,8.629481315612793,8.737187385559082,8.732419967651367,8.705790519714355,8.730146408081055,8.752936363220215,8.761567115783691,8.728694915771484,8.740522384643555,8.74178695678711,8.727225303649902,8.726523399353027,8.694698333740234,8.720137596130371,8.717049598693848,8.913579940795898,8.826972007751465,8.855385780334473,8.94206428527832,8.818739891052246,9.105368614196777,8.97465991973877,8.950882911682129,8.903779983520508,8.91900634765625,8.89121150970459,8.332809448242188,8.900125503540039,8.872615814208984,8.900806427001953,8.806138038635254,8.321724891662598,8.90970230102539,8.88386058807373,8.370721817016602,8.318475723266602,8.786947250366211,8.822078704833984
10,10.48052978515625,10.645756721496582,11.548966407775879,11.29269790649414,10.21461296081543,10.533889770507812,10.698960304260254,10.64853572845459,9.776411056518555,9.769002914428711,9.750579833984375,7.779578685760498,7.775838851928711,7.900093078613281,7.774362564086914,7.807208061218262,7.736330032348633,7.800611972808838,7.785735607147217,7.797596454620361,7.737098693847656,7.963547229766846,8.125667572021484,7.877912998199463,7.86530065536499,8.00796890258789,8.836662292480469,8.132601737976074,8.929439544677734,8.280550956726074,7.88018274307251,7.967358589172363,8.091907501220703,7.791409015655518,8.075004577636719,7.875817775726318,8.757657051086426,7.765835762023926,8.06508731842041,7.827246189117432,7.903452396392822,7.956018924713135,7.832275390625,7.993275165557861,8.033859252929688,8.19990062713623,8.001729965209961,7.809273719787598,7.176840305328369,7.807168483734131,7.773903846740723,7.771165370941162,7.804629802703857,8.087607383728027,7.182485103607178,7.868731498718262,7.499885082244873,7.817793369293213,7.171720504760742,7.850093841552734,7.963632583618164,8.676916122436523,7.968374729156494,7.898429870605469,8.66885757446289,7.976609230041504,7.836218357086182,7.968277931213379,7.954036235809326,7.490659236907959
1,8.790057182312012,7.472019672393799,7.687288284301758,10.199470520019531,10.131246566772461,10.68785572052002,9.343459129333496,8.880539894104004,8.968964576721191,8.003020286560059,7.4787139892578125,8.371655464172363,8.617534637451172,8.70422649383545,8.810933113098145,8.71532917022705,8.7916259765625,8.904379844665527,7.366886615753174,8.639649391174316,7.524260520935059,8.64166259765625,7.437621116638184,8.614513397216797,8.726604461669922,8.688047409057617,8.694717407226562,8.519803047180176,8.790275573730469,8.931724548339844,7.560686111450195,8.766400337219238,8.242683410644531,8.724920272827148,7.414045333862305,8.400425910949707,8.670166969299316,7.629213333129883,8.70324993133545,7.442458629608154,8.733619689941406,7.111545085906982,8.589617729187012,8.22632122039795,8.493501663208008,7.571722984313965,7.389991283416748,7.499419212341309,7.704862117767334,7.451174259185791,7.987063407897949,7.65334415435791,7.569095134735107,8.08552074432373,8.797929763793945,8.303420066833496,7.530046463012695,8.760969161987305,7.644500732421875,7.8437395095825195,8.25821304321289,7.727770805358887,7.520355224609375,7.347177028656006,7.565830707550049,7.648972511291504,7.706711769104004,7.642991542816162,7.3957037925720215,8.650351524353027
11,12.45273494720459,12.502739906311035,12.033794403076172,10.343649864196777,10.490304946899414,10.52244758605957,10.42729663848877,10.566559791564941,8.860268592834473,8.105364799499512,9.885271072387695,10.339791297912598,6.903921127319336,8.960945129394531,10.955658912658691,8.514869689941406,8.247859954833984,8.362443923950195,10.485777854919434,10.26520824432373,10.382493019104004,9.827290534973145,8.240106582641602,8.691984176635742,10.356104850769043,8.199458122253418,8.873811721801758,9.038802146911621,7.5762104988098145,11.990267753601074,9.84371566772461,13.095834732055664,10.382499694824219,9.85787296295166,11.985507011413574,12.30246353149414,12.193316459655762,12.224132537841797,12.482864379882812,10.422927856445312,11.819355010986328,10.55924129486084,12.043423652648926,12.6206636428833,10.422894477844238,12.116482734680176,11.857649803161621,12.155609130859375,12.018899917602539,9.418001174926758,8.681294441223145,9.112936973571777,9.962529182434082,7.122961521148682,7.616713523864746,12.06214427947998,10.492444038391113,10.551228523254395,9.524484634399414,7.106698036193848,9.107488632202148,10.54666519165039,9.797693252563477,12.001296043395996,12.067778587341309,10.548508644104004,9.374834060668945,8.105463027954102,11.82384204864502,9.343602180480957
